match_id,home_team,away_team,home_score,away_score,match_date,eu_home_odds,eu_draw_odds,eu_away_odds,eu_bookmaker,ou_line,ou_over_odds,ou_under_odds,ou_expected_goals,ou_bookmaker,ah_handicap,ah_home_odds,ah_away_odds,ah_bookmaker,kelly_home,kelly_draw,kelly_away,kelly_has_value,hot_cold_home,hot_cold_draw,hot_cold_away,hot_cold_has_value,betfair_home,betfair_draw,betfair_away,betfair_has_value
20,Liverpool FC,Chelsea FC,1,1,2026-05-09T11:30:00,2.7,4.1,2.97,Calculated-V2,3.5,1.54,3.32,3.52,Calculated-V2,-1.0,1.97,1.93,Calculated-V2,0.0303,0.0166,0.0262,True,1.4476,0.952,1.1249,False,1.0002,0.6669,1.0165,True
21,Sunderland AFC,Manchester United FC,0,0,2026-05-09T14:00:00,3.15,4.15,2.55,Calculated-V2,1.75,1.65,2.9,1.6,Calculated-V2,1.5,1.85,2.05,Calculated-V2,0.0242,0.0165,0.0335,True,0.9388,0.8752,1.5165,False,0.8671,0.7986,1.2272,True
22,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,3,0,2026-05-09T14:00:00,2.01,4.42,4.4,Calculated-V2,3.0,1.76,2.62,3.1,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.051,0.0151,0.0151,True,1.8778,0.6962,0.8294,True,0.9214,0.7235,1.2281,True
23,Fulham FC,AFC Bournemouth,0,1,2026-05-09T14:00:00,3.1,4.14,2.59,Calculated-V2,2.25,1.92,2.33,2.35,Calculated-V2,0.75,1.96,1.94,Calculated-V2,0.0249,0.0167,0.0329,True,0.8955,0.9159,1.2016,False,0.9702,0.6908,1.0755,True
24,Manchester City FC,Brentford FC,3,0,2026-05-09T16:30:00,2.33,4.24,3.5,Calculated-V2,3.5,1.36,4.65,4.08,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.039,0.016,0.0207,True,1.2938,0.6629,0.8787,True,0.959,0.5822,1.1735,True
25,Crystal Palace FC,Everton FC,2,2,2026-05-10T13:00:00,2.9,4.08,2.77,Calculated-V2,3.25,1.98,2.25,3.31,Calculated-V2,0.25,2.02,1.88,Calculated-V2,0.0272,0.0168,0.0291,True,1.3631,0.8711,1.3335,False,0.9285,0.8224,1.0734,False
26,Burnley FC,Aston Villa FC,2,2,2026-05-10T13:00:00,3.83,4.31,2.19,Calculated-V2,2.5,1.48,3.64,2.49,Calculated-V2,3.0,1.55,2.35,Calculated-V2,0.0187,0.016,0.0445,True,0.9028,0.8472,1.49,False,0.9315,0.7912,0.871,True
27,Nottingham Forest FC,Newcastle United FC,1,1,2026-05-10T13:00:00,2.91,4.08,2.77,Calculated-V2,2.5,1.52,3.43,2.41,Calculated-V2,0.25,2.02,1.88,Calculated-V2,0.0277,0.0172,0.0299,True,1.0838,0.9463,1.0176,False,1.0015,0.7012,0.9681,True
28,West Ham United FC,Arsenal FC,0,1,2026-05-10T15:30:00,3.96,4.34,2.14,Calculated-V2,2.75,1.63,2.97,2.78,Calculated-V2,3.0,1.55,2.35,Calculated-V2,0.0177,0.0157,0.0459,True,0.6349,0.6803,1.5148,True,0.9962,0.6711,1.0344,True
29,Tottenham Hotspur FC,Leeds United FC,1,1,2026-05-11T19:00:00,2.95,4.09,2.73,Calculated-V2,2.75,1.61,3.03,2.81,Calculated-V2,0.5,2.0,1.9,Calculated-V2,0.0271,0.0171,0.0306,True,1.1423,0.8373,1.0131,False,0.8297,0.7445,1.2015,True
30,Manchester City FC,Crystal Palace FC,3,0,2026-05-13T19:00:00,2.21,4.3,3.76,Calculated-V2,3.5,1.38,4.44,4.01,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0426,0.0156,0.0187,True,1.5283,0.7384,0.8388,True,0.8813,0.7304,1.2134,True
31,Aston Villa FC,Liverpool FC,4,2,2026-05-15T19:00:00,2.68,4.11,3.0,Calculated-V2,3.5,1.32,5.25,4.27,Calculated-V2,-0.75,1.94,1.96,Calculated-V2,0.0315,0.017,0.0264,True,1.1163,0.9262,0.9329,False,0.827,0.9839,1.1111,False
32,Manchester United FC,Nottingham Forest FC,3,2,2026-05-17T11:30:00,2.34,4.24,3.49,Calculated-V2,3.5,1.22,7.6,4.84,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0395,0.0163,0.0213,True,1.2529,0.752,0.813,True,0.8894,0.9264,1.0766,False
33,Brentford FC,Crystal Palace FC,2,2,2026-05-17T14:00:00,2.62,4.13,3.06,Calculated-V2,3.25,1.98,2.24,3.3,Calculated-V2,-1.25,2.01,1.89,Calculated-V2,0.0321,0.0166,0.0252,True,1.2362,0.7762,1.0185,True,0.9687,0.6864,1.3127,True
34,Everton FC,Sunderland AFC,1,3,2026-05-17T14:00:00,2.91,4.08,2.77,Calculated-V2,3.5,1.54,3.31,3.52,Calculated-V2,0.0,1.85,2.05,Calculated-V2,0.0277,0.0172,0.0299,True,0.9515,0.9784,1.3753,False,0.9847,0.7029,1.0947,True
35,Leeds United FC,Brighton & Hove Albion FC,1,0,2026-05-17T14:00:00,2.79,4.07,2.88,Calculated-V2,3.0,1.85,2.44,2.96,Calculated-V2,0.0,1.85,2.05,Calculated-V2,0.0286,0.0167,0.0272,True,1.2493,0.7759,1.271,True,1.1209,0.6204,1.1927,True
36,Wolverhampton Wanderers FC,Fulham FC,1,1,2026-05-17T14:00:00,3.73,4.29,2.23,Calculated-V2,1.75,1.58,3.14,1.71,Calculated-V2,2.75,1.6,2.3,Calculated-V2,0.0194,0.0161,0.0431,True,0.7018,0.6959,1.5899,True,0.9317,0.823,1.1626,False
37,Newcastle United FC,West Ham United FC,3,1,2026-05-17T16:30:00,2.4,4.21,3.37,Calculated-V2,3.5,1.54,3.33,3.53,Calculated-V2,-2.0,2.15,1.75,Calculated-V2,0.0369,0.0161,0.0218,True,1.2944,0.7981,0.8066,True,0.9756,0.9678,1.181,False
38,Arsenal FC,Burnley FC,1,0,2026-05-18T19:00:00,1.91,4.49,4.9,Calculated-V2,3.0,1.91,2.35,2.89,Calculated-V2,-3.0,2.35,1.55,Calculated-V2,0.0574,0.015,0.0134,True,1.693,0.8715,0.8293,False,0.9378,0.5719,1.059,True
39,AFC Bournemouth,Manchester City FC,1,1,2026-05-19T18:30:00,3.18,4.16,2.53,Calculated-V2,3.5,1.39,4.3,3.95,Calculated-V2,2.25,1.7,2.2,Calculated-V2,0.0241,0.0166,0.0343,True,1.2001,0.7109,1.2019,True,0.7926,0.8978,0.9245,True
40,Chelsea FC,Tottenham Hotspur FC,2,1,2026-05-19T19:15:00,2.42,4.2,3.34,Calculated-V2,3.25,2.12,2.09,3.15,Calculated-V2,-1.75,2.1,1.8,Calculated-V2,0.0365,0.0162,0.0222,True,1.2923,0.8101,1.2296,False,0.8531,0.8372,1.3548,False
51,Elche CF,Club Atlético de Madrid,3,2,2026-04-22T17:00:00,3.12,4.14,2.58,Calculated-V2,3.5,1.54,3.34,3.53,Calculated-V2,2.25,1.7,2.2,Calculated-V2,0.025,0.0169,0.0336,True,1.0666,0.9264,1.2959,False,0.8627,0.7645,1.0647,True
